index,scene_id,segment_id,instruction,terrain,motion,landmarks,trajectory_summary,confidence,version,image_start,image_goal,human_instruction_correct,human_landmarks_visible,human_motion_correct,human_terrain_correct,human_notes
9,rellis_scene_00000,seq_00000_000004,Move forward across the grass while keeping clear of the person on your left and the bush ahead.,grass,forward,"[{""bbox"": [0, 295, 171, 849], ""category"": ""unknown"", ""name"": ""person"", ""relation"": ""left"", ""role"": ""avoid"", ""score"": 0.923827}, {""bbox"": [0, 455, 1919, 1199], ""category"": ""obstacle_like"", ""name"": ""bush"", ""relation"": ""ahead"", ""role"": ""avoid"", ""score"": 0.866727}, {""bbox"": [0, 444, 1919, 1199], ""category"": ""region_like"", ""name"": ""grass field"", ""relation"": ""ahead"", ""role"": ""follow"", ""score"": 0.9}]","points=97; start=(0.00,0.00); goal=(6.56,-9.92); distance_m=11.941594; duration_s=9.6; heading_change_deg=-4.294104",0.884002,rewritten_evidence_landmark_terrain_motion_v4,/home/song/Outdoor-VLN/data/Rellis_3D_pylon_camera_node/Rellis-3D/00000/pylon_camera_node/frame000398-1581624692_549.jpg,/home/song/Outdoor-VLN/data/Rellis_3D_pylon_camera_node/Rellis-3D/00000/pylon_camera_node/frame000494-1581624702_149.jpg,,,,,
12,rellis_scene_00000,seq_00000_000004,Move forward across the grass while keeping clear of the person on your left and the bush ahead.,grass,forward,"[{""bbox"": [0, 295, 171, 849], ""category"": ""unknown"", ""name"": ""person"", ""relation"": ""left"", ""role"": ""avoid"", ""score"": 0.923827}, {""bbox"": [0, 455, 1919, 1199], ""category"": ""obstacle_like"", ""name"": ""bush"", ""relation"": ""ahead"", ""role"": ""avoid"", ""score"": 0.866727}, {""bbox"": [0, 444, 1919, 1199], ""category"": ""region_like"", ""name"": ""grass field"", ""relation"": ""ahead"", ""role"": ""follow"", ""score"": 0.9}]","points=97; start=(0.00,0.00); goal=(6.56,-9.92); distance_m=11.941594; duration_s=9.6; heading_change_deg=-4.294104",0.884002,rewritten_evidence_landmark_terrain_motion_v4,/home/song/Outdoor-VLN/data/Rellis_3D_pylon_camera_node/Rellis-3D/00000/pylon_camera_node/frame000398-1581624692_549.jpg,/home/song/Outdoor-VLN/data/Rellis_3D_pylon_camera_node/Rellis-3D/00000/pylon_camera_node/frame000494-1581624702_149.jpg,,,,,
5,rellis_scene_00000,seq_00000_000004,Move forward across the grass while staying clear of the person on your left and the bush ahead.,grass,forward,"[{""bbox"": [0, 295, 171, 849], ""category"": ""unknown"", ""name"": ""person"", ""relation"": ""left"", ""role"": ""avoid"", ""score"": 0.923827}, {""bbox"": [0, 455, 1919, 1199], ""category"": ""obstacle_like"", ""name"": ""bush"", ""relation"": ""ahead"", ""role"": ""avoid"", ""score"": 0.866727}, {""bbox"": [0, 444, 1919, 1199], ""category"": ""region_like"", ""name"": ""grass field"", ""relation"": ""ahead"", ""role"": ""follow"", ""score"": 0.9}]","points=97; start=(0.00,0.00); goal=(6.56,-9.92); distance_m=11.941594; duration_s=9.6; heading_change_deg=-4.294104",0.884002,evidence_landmark_terrain_motion_v3,/home/song/Outdoor-VLN/data/Rellis_3D_pylon_camera_node/Rellis-3D/00000/pylon_camera_node/frame000398-1581624692_549.jpg,/home/song/Outdoor-VLN/data/Rellis_3D_pylon_camera_node/Rellis-3D/00000/pylon_camera_node/frame000494-1581624702_149.jpg,,,,,
20,rellis_scene_00000,seq_00000_000007,Move forward and slightly left across the grass while staying clear of the puddles ahead on your front-left.,grass,forward_left,"[{""bbox"": [0, 632, 1833, 1199], ""category"": ""obstacle_like"", ""name"": ""puddle"", ""relation"": ""front_left"", ""role"": ""avoid"", ""score"": 0.876393}, {""bbox"": [0, 522, 1919, 1199], ""category"": ""region_like"", ""name"": ""grass field"", ""relation"": ""ahead"", ""role"": ""follow"", ""score"": 0.9}]","points=124; start=(0.00,0.00); goal=(-0.91,-11.79); distance_m=11.968105; duration_s=12.3; heading_change_deg=8.87406",0.902492,evidence_landmark_terrain_motion_v3,/home/song/Outdoor-VLN/data/Rellis_3D_pylon_camera_node/Rellis-3D/00000/pylon_camera_node/frame000690-1581624721_750.jpg,/home/song/Outdoor-VLN/data/Rellis_3D_pylon_camera_node/Rellis-3D/00000/pylon_camera_node/frame000813-1581624734_049.jpg,,,,,
31,rellis_scene_00000,seq_00000_000009,Move forward and slightly right across the grass while avoiding the muddy area ahead and the tree ahead.,grass,forward_right,"[{""bbox"": [372, 667, 1396, 1199], ""category"": ""obstacle_like"", ""name"": ""mud"", ""relation"": ""ahead"", ""role"": ""avoid"", ""score"": 0.85429}, {""bbox"": [0, 0, 1919, 1036], ""category"": ""obstacle_like"", ""name"": ""tree"", ""relation"": ""ahead"", ""role"": ""avoid"", ""score"": 0.93}, {""bbox"": [0, 646, 1919, 1199], ""category"": ""region_like"", ""name"": ""grass field"", ""relation"": ""ahead"", ""role"": ""follow"", ""score"": 0.9}]","points=75; start=(0.00,0.00); goal=(-0.22,-9.84); distance_m=9.877935; duration_s=7.4; heading_change_deg=-8.811871",0.891966,rewritten_evidence_landmark_terrain_motion_v4,/home/song/Outdoor-VLN/data/Rellis_3D_pylon_camera_node/Rellis-3D/00000/pylon_camera_node/frame000925-1581624745_250.jpg,/home/song/Outdoor-VLN/data/Rellis_3D_pylon_camera_node/Rellis-3D/00000/pylon_camera_node/frame000999-1581624752_650.jpg,,,,,
22,rellis_scene_00000,seq_00000_000007,Move forward and slightly left across the grass while avoiding the puddles ahead on your front-left.,grass,forward_left,"[{""bbox"": [0, 632, 1833, 1199], ""category"": ""obstacle_like"", ""name"": ""puddle"", ""relation"": ""front_left"", ""role"": ""avoid"", ""score"": 0.876393}, {""bbox"": [0, 522, 1919, 1199], ""category"": ""region_like"", ""name"": ""grass field"", ""relation"": ""ahead"", ""role"": ""follow"", ""score"": 0.9}]","points=124; start=(0.00,0.00); goal=(-0.91,-11.79); distance_m=11.968105; duration_s=12.3; heading_change_deg=8.87406",0.902492,evidence_landmark_terrain_motion_v3,/home/song/Outdoor-VLN/data/Rellis_3D_pylon_camera_node/Rellis-3D/00000/pylon_camera_node/frame000690-1581624721_750.jpg,/home/song/Outdoor-VLN/data/Rellis_3D_pylon_camera_node/Rellis-3D/00000/pylon_camera_node/frame000813-1581624734_049.jpg,,,,,
29,rellis_scene_00000,seq_00000_000009,Move forward and slightly right across the grass while staying clear of the muddy area ahead and the tree ahead.,grass,forward_right,"[{""bbox"": [372, 667, 1396, 1199], ""category"": ""obstacle_like"", ""name"": ""mud"", ""relation"": ""ahead"", ""role"": ""avoid"", ""score"": 0.85429}, {""bbox"": [0, 0, 1919, 1036], ""category"": ""obstacle_like"", ""name"": ""tree"", ""relation"": ""ahead"", ""role"": ""avoid"", ""score"": 0.93}, {""bbox"": [0, 646, 1919, 1199], ""category"": ""region_like"", ""name"": ""grass field"", ""relation"": ""ahead"", ""role"": ""follow"", ""score"": 0.9}]","points=75; start=(0.00,0.00); goal=(-0.22,-9.84); distance_m=9.877935; duration_s=7.4; heading_change_deg=-8.811871",0.891966,evidence_landmark_terrain_motion_v3,/home/song/Outdoor-VLN/data/Rellis_3D_pylon_camera_node/Rellis-3D/00000/pylon_camera_node/frame000925-1581624745_250.jpg,/home/song/Outdoor-VLN/data/Rellis_3D_pylon_camera_node/Rellis-3D/00000/pylon_camera_node/frame000999-1581624752_650.jpg,,,,,
16,rellis_scene_00000,seq_00000_000005,Turn right across the grass while avoiding the muddy area ahead on your front-right and the tree ahead.,grass,turn_right,"[{""bbox"": [952, 798, 1919, 1199], ""category"": ""obstacle_like"", ""name"": ""mud"", ""relation"": ""front_right"", ""role"": ""avoid"", ""score"": 0.84621}, {""bbox"": [0, 0, 1919, 562], ""category"": ""obstacle_like"", ""name"": ""tree"", ""relation"": ""ahead"", ""role"": ""avoid"", ""score"": 0.869222}, {""bbox"": [0, 534, 1919, 1199], ""category"": ""region_like"", ""name"": ""grass field"", ""relation"": ""ahead"", ""role"": ""follow"", ""score"": 0.9}]","points=93; start=(0.00,0.00); goal=(1.83,-11.65); distance_m=11.919008; duration_s=9.2; heading_change_deg=-29.565318",0.862364,evidence_landmark_terrain_motion_v3,/home/song/Outdoor-VLN/data/Rellis_3D_pylon_camera_node/Rellis-3D/00000/pylon_camera_node/frame000494-1581624702_149.jpg,/home/song/Outdoor-VLN/data/Rellis_3D_pylon_camera_node/Rellis-3D/00000/pylon_camera_node/frame000586-1581624711_349.jpg,,,,,
26,rellis_scene_00000,seq_00000_000009,Move forward and slightly right across the grass while staying clear of the muddy area ahead and the tree ahead.,grass,forward_right,"[{""bbox"": [372, 667, 1396, 1199], ""category"": ""obstacle_like"", ""name"": ""mud"", ""relation"": ""ahead"", ""role"": ""avoid"", ""score"": 0.85429}, {""bbox"": [0, 0, 1919, 1036], ""category"": ""obstacle_like"", ""name"": ""tree"", ""relation"": ""ahead"", ""role"": ""avoid"", ""score"": 0.93}, {""bbox"": [0, 646, 1919, 1199], ""category"": ""region_like"", ""name"": ""grass field"", ""relation"": ""ahead"", ""role"": ""follow"", ""score"": 0.9}]","points=75; start=(0.00,0.00); goal=(-0.22,-9.84); distance_m=9.877935; duration_s=7.4; heading_change_deg=-8.811871",0.891966,evidence_landmark_terrain_motion_v3,/home/song/Outdoor-VLN/data/Rellis_3D_pylon_camera_node/Rellis-3D/00000/pylon_camera_node/frame000925-1581624745_250.jpg,/home/song/Outdoor-VLN/data/Rellis_3D_pylon_camera_node/Rellis-3D/00000/pylon_camera_node/frame000999-1581624752_650.jpg,,,,,
24,rellis_scene_00000,seq_00000_000008,Move forward across the grass while keeping clear of the tree ahead and the bush ahead on your front-right.,grass,forward,"[{""bbox"": [0, 0, 1919, 1069], ""category"": ""obstacle_like"", ""name"": ""tree"", ""relation"": ""ahead"", ""role"": ""avoid"", ""score"": 0.93}, {""bbox"": [0, 493, 1919, 1199], ""category"": ""obstacle_like"", ""name"": ""bush"", ""relation"": ""front_right"", ""role"": ""avoid"", ""score"": 0.878464}, {""bbox"": [0, 511, 1919, 1199], ""category"": ""region_like"", ""name"": ""grass field"", ""relation"": ""ahead"", ""role"": ""follow"", ""score"": 0.9}]","points=113; start=(0.00,0.00); goal=(-0.24,-11.95); distance_m=11.996268; duration_s=11.2; heading_change_deg=6.356013",0.904653,evidence_landmark_terrain_motion_v3,/home/song/Outdoor-VLN/data/Rellis_3D_pylon_camera_node/Rellis-3D/00000/pylon_camera_node/frame000813-1581624734_049.jpg,/home/song/Outdoor-VLN/data/Rellis_3D_pylon_camera_node/Rellis-3D/00000/pylon_camera_node/frame000925-1581624745_250.jpg,,,,,
14,rellis_scene_00000,seq_00000_000005,Turn right across the grass while staying clear of the muddy area ahead on your front-right and the tree ahead.,grass,turn_right,"[{""bbox"": [952, 798, 1919, 1199], ""category"": ""obstacle_like"", ""name"": ""mud"", ""relation"": ""front_right"", ""role"": ""avoid"", ""score"": 0.84621}, {""bbox"": [0, 0, 1919, 562], ""category"": ""obstacle_like"", ""name"": ""tree"", ""relation"": ""ahead"", ""role"": ""avoid"", ""score"": 0.869222}, {""bbox"": [0, 534, 1919, 1199], ""category"": ""region_like"", ""name"": ""grass field"", ""relation"": ""ahead"", ""role"": ""follow"", ""score"": 0.9}]","points=93; start=(0.00,0.00); goal=(1.83,-11.65); distance_m=11.919008; duration_s=9.2; heading_change_deg=-29.565318",0.862364,evidence_landmark_terrain_motion_v3,/home/song/Outdoor-VLN/data/Rellis_3D_pylon_camera_node/Rellis-3D/00000/pylon_camera_node/frame000494-1581624702_149.jpg,/home/song/Outdoor-VLN/data/Rellis_3D_pylon_camera_node/Rellis-3D/00000/pylon_camera_node/frame000586-1581624711_349.jpg,,,,,
10,rellis_scene_00000,seq_00000_000004,Move forward across the grass while avoiding the person on your left and the bush ahead.,grass,forward,"[{""bbox"": [0, 295, 171, 849], ""category"": ""unknown"", ""name"": ""person"", ""relation"": ""left"", ""role"": ""avoid"", ""score"": 0.923827}, {""bbox"": [0, 455, 1919, 1199], ""category"": ""obstacle_like"", ""name"": ""bush"", ""relation"": ""ahead"", ""role"": ""avoid"", ""score"": 0.866727}, {""bbox"": [0, 444, 1919, 1199], ""category"": ""region_like"", ""name"": ""grass field"", ""relation"": ""ahead"", ""role"": ""follow"", ""score"": 0.9}]","points=97; start=(0.00,0.00); goal=(6.56,-9.92); distance_m=11.941594; duration_s=9.6; heading_change_deg=-4.294104",0.884002,rewritten_evidence_landmark_terrain_motion_v4,/home/song/Outdoor-VLN/data/Rellis_3D_pylon_camera_node/Rellis-3D/00000/pylon_camera_node/frame000398-1581624692_549.jpg,/home/song/Outdoor-VLN/data/Rellis_3D_pylon_camera_node/Rellis-3D/00000/pylon_camera_node/frame000494-1581624702_149.jpg,,,,,
11,rellis_scene_00000,seq_00000_000004,Move forward across the grass while staying clear of the person on your left and the bush ahead.,grass,forward,"[{""bbox"": [0, 295, 171, 849], ""category"": ""unknown"", ""name"": ""person"", ""relation"": ""left"", ""role"": ""avoid"", ""score"": 0.923827}, {""bbox"": [0, 455, 1919, 1199], ""category"": ""obstacle_like"", ""name"": ""bush"", ""relation"": ""ahead"", ""role"": ""avoid"", ""score"": 0.866727}, {""bbox"": [0, 444, 1919, 1199], ""category"": ""region_like"", ""name"": ""grass field"", ""relation"": ""ahead"", ""role"": ""follow"", ""score"": 0.9}]","points=97; start=(0.00,0.00); goal=(6.56,-9.92); distance_m=11.941594; duration_s=9.6; heading_change_deg=-4.294104",0.884002,evidence_landmark_terrain_motion_v3,/home/song/Outdoor-VLN/data/Rellis_3D_pylon_camera_node/Rellis-3D/00000/pylon_camera_node/frame000398-1581624692_549.jpg,/home/song/Outdoor-VLN/data/Rellis_3D_pylon_camera_node/Rellis-3D/00000/pylon_camera_node/frame000494-1581624702_149.jpg,,,,,
27,rellis_scene_00000,seq_00000_000009,Move forward and slightly right across the grass while keeping clear of the muddy area ahead and the tree ahead.,grass,forward_right,"[{""bbox"": [372, 667, 1396, 1199], ""category"": ""obstacle_like"", ""name"": ""mud"", ""relation"": ""ahead"", ""role"": ""avoid"", ""score"": 0.85429}, {""bbox"": [0, 0, 1919, 1036], ""category"": ""obstacle_like"", ""name"": ""tree"", ""relation"": ""ahead"", ""role"": ""avoid"", ""score"": 0.93}, {""bbox"": [0, 646, 1919, 1199], ""category"": ""region_like"", ""name"": ""grass field"", ""relation"": ""ahead"", ""role"": ""follow"", ""score"": 0.9}]","points=75; start=(0.00,0.00); goal=(-0.22,-9.84); distance_m=9.877935; duration_s=7.4; heading_change_deg=-8.811871",0.891966,rewritten_evidence_landmark_terrain_motion_v4,/home/song/Outdoor-VLN/data/Rellis_3D_pylon_camera_node/Rellis-3D/00000/pylon_camera_node/frame000925-1581624745_250.jpg,/home/song/Outdoor-VLN/data/Rellis_3D_pylon_camera_node/Rellis-3D/00000/pylon_camera_node/frame000999-1581624752_650.jpg,,,,,
8,rellis_scene_00000,seq_00000_000004,Move forward across the grass while staying clear of the person on your left and the bush ahead.,grass,forward,"[{""bbox"": [0, 295, 171, 849], ""category"": ""unknown"", ""name"": ""person"", ""relation"": ""left"", ""role"": ""avoid"", ""score"": 0.923827}, {""bbox"": [0, 455, 1919, 1199], ""category"": ""obstacle_like"", ""name"": ""bush"", ""relation"": ""ahead"", ""role"": ""avoid"", ""score"": 0.866727}, {""bbox"": [0, 444, 1919, 1199], ""category"": ""region_like"", ""name"": ""grass field"", ""relation"": ""ahead"", ""role"": ""follow"", ""score"": 0.9}]","points=97; start=(0.00,0.00); goal=(6.56,-9.92); distance_m=11.941594; duration_s=9.6; heading_change_deg=-4.294104",0.884002,evidence_landmark_terrain_motion_v3,/home/song/Outdoor-VLN/data/Rellis_3D_pylon_camera_node/Rellis-3D/00000/pylon_camera_node/frame000398-1581624692_549.jpg,/home/song/Outdoor-VLN/data/Rellis_3D_pylon_camera_node/Rellis-3D/00000/pylon_camera_node/frame000494-1581624702_149.jpg,,,,,
19,rellis_scene_00000,seq_00000_000006,Move forward and slightly right across the grass while avoiding the puddles ahead and the tree ahead.,grass,forward_right,"[{""bbox"": [0, 508, 1896, 1199], ""category"": ""obstacle_like"", ""name"": ""puddle"", ""relation"": ""ahead"", ""role"": ""avoid"", ""score"": 0.897624}, {""bbox"": [0, 0, 1919, 656], ""category"": ""obstacle_like"", ""name"": ""tree"", ""relation"": ""ahead"", ""role"": ""avoid"", ""score"": 0.93}, {""bbox"": [0, 518, 1919, 1199], ""category"": ""region_like"", ""name"": ""grass field"", ""relation"": ""ahead"", ""role"": ""follow"", ""score"": 0.9}]","points=105; start=(0.00,0.00); goal=(-2.14,-11.75); distance_m=11.995393; duration_s=10.4; heading_change_deg=-8.420022",0.906085,evidence_landmark_terrain_motion_v3,/home/song/Outdoor-VLN/data/Rellis_3D_pylon_camera_node/Rellis-3D/00000/pylon_camera_node/frame000586-1581624711_349.jpg,/home/song/Outdoor-VLN/data/Rellis_3D_pylon_camera_node/Rellis-3D/00000/pylon_camera_node/frame000690-1581624721_750.jpg,,,,,
30,rellis_scene_00000,seq_00000_000009,Move forward and slightly right across the grass while keeping clear of the muddy area ahead and the tree ahead.,grass,forward_right,"[{""bbox"": [372, 667, 1396, 1199], ""category"": ""obstacle_like"", ""name"": ""mud"", ""relation"": ""ahead"", ""role"": ""avoid"", ""score"": 0.85429}, {""bbox"": [0, 0, 1919, 1036], ""category"": ""obstacle_like"", ""name"": ""tree"", ""relation"": ""ahead"", ""role"": ""avoid"", ""score"": 0.93}, {""bbox"": [0, 646, 1919, 1199], ""category"": ""region_like"", ""name"": ""grass field"", ""relation"": ""ahead"", ""role"": ""follow"", ""score"": 0.9}]","points=75; start=(0.00,0.00); goal=(-0.22,-9.84); distance_m=9.877935; duration_s=7.4; heading_change_deg=-8.811871",0.891966,rewritten_evidence_landmark_terrain_motion_v4,/home/song/Outdoor-VLN/data/Rellis_3D_pylon_camera_node/Rellis-3D/00000/pylon_camera_node/frame000925-1581624745_250.jpg,/home/song/Outdoor-VLN/data/Rellis_3D_pylon_camera_node/Rellis-3D/00000/pylon_camera_node/frame000999-1581624752_650.jpg,,,,,
